"source","target","dst_port","weight","type","time","diff"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677206832","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677207618","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677207618","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677207618","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677207618","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","57","graph_edge","1771677207618","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207618","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207618","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207618","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207618","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207618","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207762","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207762","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207762","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207762","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","75","graph_edge","1771677207762","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677207762","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677207762","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677207762","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677207762","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677207762","1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677208406","-1"
"2001:4860:4802:36::223:443","2401:4900:88cd:ee23:17cc:48d:1112:a26a:60434","60434","261","graph_edge","1771677208406","-1"
