"data","time","diff"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757726800","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 2 | Bytes: 132 | Duration: 0.33s","1771757726800","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757736626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 1 | Bytes: 66 | Duration: 0.00s","1771757737310","-1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.14s","1771757737310","1"
"Flow: 192.168.1.20:49360 -> 64.233.170.188:5228 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 7 | Bytes: 466 | Duration: 3.24s","1771757739626","1"
"Flow: 192.168.1.12:1716 -> 192.168.1.20:44692 | Description:  | Score: 0.00 | Confidence: 0.70 | Packets: 2 | Bytes: 132 | Duration: 0.14s","1771757747126","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 358 | Duration: 3.12s","1771757750126","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential SYN Flood / Scan | Score: 0.00 | Confidence: 0.90 | Packets: 5 | Bytes: 358 | Duration: 3.12s","1771757751626","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.00 | Confidence: 0.50 | Packets: 5 | Bytes: 358 | Duration: 3.12s","1771757751626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.30 | Confidence: 0.50 | Packets: 6 | Bytes: 3580 | Duration: 2.26s","1771757751626","1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 3 | Bytes: 3354 | Duration: 0.00s","1771757751626","1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description:  | Score: 0.30 | Confidence: 0.50 | Packets: 6 | Bytes: 3580 | Duration: 2.26s","1771757753126","-1"
"Flow: 175.41.165.139:8000 -> 192.168.1.20:46435 | Description:  | Score: 0.30 | Confidence: 0.90 | Packets: 3 | Bytes: 3354 | Duration: 0.00s","1771757753126","-1"
"Flow: 192.168.1.12:46435 -> 192.168.1.20:8000 | Description: Potential Slow DoS Pattern | Score: 0.30 | Confidence: 0.70 | Packets: 36 | Bytes: 21852 | Duration: 2.69s","1771757753126","1"
