2026-02-21 12:24:22,227 INFO     Starting server at tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-02-21 12:24:22,228 INFO     Configuring endpoint tcp:port=8000:interface=0.0.0.0
2026-02-21 12:24:22,228 INFO     Listening on TCP address 0.0.0.0:8000
127.0.0.1:46206 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46232 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46222 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46244 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46246 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46250 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
2e:3b:70:fa:c3:bf 2e:3b:70:fa:c3:bf d2:49:a3:2c:90:63 0806 42: arp reply 192.168.1.1 is-at bc:51:5f:24:da:e3 0806 42: arp reply 192.168.1.20 is-at 2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf 2e:3b:70:fa:c3:bf bc:51:5f:24:da:e3 0806 42: arp reply 192.168.1.20 is-at d2:49:a3:2c:90:63 0806 42: arp reply 192.168.1.1 is-at 2e:3b:70:fa:c3:bf
2e:3b:70:fa:c3:bf
127.0.0.1:46264 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46274 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46280 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46282 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46296 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46310 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46316 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46332 - - [21/Feb/2026:12:24:45] "POST /api/update/" 200 34
127.0.0.1:46336 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46352 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46366 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46378 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46388 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46402 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46412 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46428 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46442 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46450 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46462 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46472 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46476 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46490 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46506 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46514 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46520 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46524 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46528 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46544 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46560 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46564 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46574 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46584 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46586 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46596 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46612 - - [21/Feb/2026:12:24:46] "POST /api/update/" 200 34
127.0.0.1:46628 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46640 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46652 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46668 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46670 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46674 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46688 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46704 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46708 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46710 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46726 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46732 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46734 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46744 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46746 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46762 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46768 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46770 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46772 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
127.0.0.1:46784 - - [21/Feb/2026:12:24:47] "POST /api/update/" 200 34
